"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Views","Show View (View: Console)","Alt+Shift+Q, C","In Windows"
"File","Save","Ctrl+S","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Navigate","Previous","Ctrl+,","In Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"File","Refresh","F5","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"File","New menu","Alt+Shift+N","In Windows"
"Views","Show View (View: Breakpoints)","Alt+Shift+Q, B","In Windows"
"OpenScript Keys","Playback","Alt+P","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Text Editing","Line End","End","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"OpenScript Keys","Playback to Here","F4","Treeview Debugging"
"OpenScript Keys","Stop","Alt+S","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"File","New","Ctrl+N","In Windows"
"Edit","Delete","Delete","In Windows"
"File","Close","Ctrl+W","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Views","Show View (View: Variables)","Alt+Shift+Q, V","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Views","Show View (View: Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Navigate","Open Declaration","F3","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"File","Print","Ctrl+P","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Run/Debug","Run Last Launched","Ctrl+F11","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"OpenScript Keys","Step","F6","Treeview Debugging"
"Source","Indent Line","Ctrl+I","Editing Java Source"
"Window","Show System Menu","Alt+-","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Views","Show View (View: Javadoc)","Alt+Shift+Q, J","In Windows"
"Views","Show View (View: Package Explorer)","Alt+Shift+Q, P","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Views","Show View (View: Hierarchy)","Alt+Shift+Q, T","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Help","Close User Assistance Tray","Ctrl+F4","In Dialogs"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Run/Debug","Debug Last Launched","F11","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"OpenScript Keys","Step Into","F5","Treeview Debugging"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Context Information","Ctrl+Shift+Space","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Views","Show View (View: Outline)","Alt+Shift+Q, O","In Windows"
"Views","Show View (View: Synchronize)","Alt+Shift+Q, Y","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"OpenScript Keys","Execute","F7","Treeview Debugging"
"Views","Show View (View: Problems)","Alt+Shift+Q, X","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"OpenScript Keys","Record","Alt+R","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Spy","Plug-in Spy","Alt+Shift+F1","In Dialogs and Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
